,tweet
50,"Prabowo Subianto, hampir dua dekade berpolitik, kerap menempati posisi teratas survei. Ia tiga kali maju menjadi capres–cawapres. Namun, takdir belum menempatkannya pada kursi tertinggi pemimpin negeri.  https://t.co/ARVBk9tl1g"
51,Deklarasi calon presiden pertama kali akan segera digelar. Ditengarai Partai Gerindra yang akan memulai dengan capres Prabowo Subianto.  Layar tahun politik mulai dibuka... Bagaimana prediksinya? #Eksklusif di #AIMAN malam ini! @KompasTV  https://t.co/McLGHn2a1r
52,"LIVE dari KompasTV dalam acara Aiman, Sekretaris Jenderal Gerindra, Ahmad Muzani, membeberkan calon pendamping Prabowo Subianto dalam bursa Pilpres 2024.  https://t.co/jATDG9x0FF"
53,"@geloraco Prabowo Subianto + 1 tokoh oposisi. Rizal ramli misalnya. Tp, bisa2 malah dia yg ngatur presiden."
54,@MSApunya @prabowo Embung ahh.. KAPOKKK 😁
55,@KompasTV Cuma yang pakai masker @ganjarpranowo  @prabowo @aniesbaswedan
56,"Prabowo Subianto pesan 42 pesawat tempur Dassault Rafale, serta dua kapal selam jenis Scorpen dari Prancis.  #merahputihcom #PrabowoSubianto #DCA    https://t.co/XJadEN5U2R"
57,"@Thomass90392754 @prastow @msaid_didu @Kemhan_RI @prabowo @Gerindra Bener2 somplak emang @Dahnilanzar , lu ngapa beli pesawat tempur? Klo kita perang ngumpet sja di belakang mobil esemka, dijamin musuh takut semua Apalagi klo tinggalnya di ibukota negara wis dijamin musuh takut, oh iya itu kerta cepat kapan kelarnya? Sekrang masih 2018?  https://t.co/n1GkMxjFIb"
58,@satriohendri Sepertinya Prabowo Subianto ditakdirkan sebagai capres... abadi
59,@MardaniAliSera @PKSejahtera @FPKSDPRRI Calon presidennya PeKaEs siapa ya? Moga tidak @prabowo dan @sandiuno lagi. Kapok kami sudah promosi dan memperjuangkan ternyata…..
60,Notorious Indonesian MoD #Prabowo Subianto has big dreams. He wants to invest $100bn in military modernisation programs. Shortly after the order in France the US gave the greenlight for export of 36 F15 fighter planes to Jakarta ($13.9bn).  https://t.co/dwnAMJx4qd @annebauerbrux
61,@Firman2941 @prastow @msaid_didu Udah nanya Ama @Kemhan_RI Ama @prabowo Ama @Gerindra  kenapa negara kere malah borong jet tempur?  https://t.co/nRgdRyu30O
62,"@artchiltech @prabowo @Kemhan_RI @jokowi @_TNIAU @Dahnilanzar Pespur 5th gen sudah dimiliki China, Singapura, &amp; Australia  China adalah ancaman keamanan paling serius bagi Indonesia, Pespur 5th gen J-20 &amp; sudah masuk tahap IOC/FOC. belum lagi J-31  Dalam 1 dekade ke depan kemungkinan besar kekuatan PLAF akan didominasi J-20 / J-31"
63,"#Endonezya, Fransız şirketi Dassault ile 6 Rafale savaş uçağı satın alma sözleşmesi imzaladı.   ⚫ Savunma Bakanı Prabowo Subianto: 6 uçaklık ilk sözleşmenin imzalanmasıyla başladık ve bunu yakın gelecekte 36 uçak ile devam edecek sözleşmeler takip edecek.  https://t.co/d39LtdZzcP"
64,"@artchiltech @prabowo @Kemhan_RI @jokowi @_TNIAU @Dahnilanzar Salah, syarat beli F-35 harus beli terlebih dahulu F-16 airframe baru minimal blok 50/52  Rafale &amp; F-15EX gak ada hubungannya sama sekali dengan F-35"
65,Temen2 gw yg nyaleg wajib menang.. gw dukung mati2an!! Dan yg terpenting @Gerindra menang Di DKI Jakarta  dan @prabowo Presiden itu Harga mati… 🔥🔥
66,@geloraco Mantap banget Bapak Prabowo Subianto Djojohadikusumo dan teruslah berkarya dan berjuang untuk keselamatan Rakyat bangsa dan negara tercinta Indonesia Raya  Bravo Pak Prabowo ! Allahuakbar ✊
