date,username,tweet
2023-01-15 17:35:13,PolairJateng,SAT POLAIRUD POLRES TEGAL KOTA   Bripka Agus Suharbowo anggota  Satpolairud memberikan himbauan  pada pengunjung Wisata pantai agar selalu berhati hati disaat wisata tidak mandi mandi dilaut agar tidak terjadi hal hal yang tidak kita inginkan juga menghimbau pada pengunjung agar  https://t.co/G2BU59AJqP
2023-01-15 17:12:50,inara_grata,@abnerstindi Mantap.salam petir dari kota tegal
2023-01-15 17:11:02,ElshintaTegal_,Hari Bebas Kendaraan digelar di 13 kecamatan di Kota Tangerang   https://t.co/jIiAFstAZp  https://t.co/4Sr7zT5YEf
2023-01-15 16:42:07,tegalfess,"[tf] Kalian ada yg pernah jerawaten di dalem idung gak? Kalo ada, biasanya dikasih obat apa? Sakit bgt, kayak benjolan putih agak kuning gitu 😭 Makasih buat yg bantu jawab 🙏🏻"
2023-01-15 16:39:25,tegalfess,Ada di base ini yang menikah sama orang batak? Pliss butuh advice bgtt. Thx [TF]
2023-01-15 15:51:28,tegalfess,"Dalam waktu menuju lamaran, biasanya pada bahas apa saja guys sama calon? [TF]"
2023-01-15 15:44:31,tegalfess,[TF] ada yg udah nonton film hidayah? reviewnya dong bagus apa gak
2023-01-15 15:30:13,rifnufa,"Versi Jawa Tengah  City I dislike : Demak City I think is overatted : Solo Cities I like, Ungaran, Purwodadi, Blora, Kab. Tegal, Banjarnegara, Pemalang, Temanggung. City I love : Kota Semarang City I would like to live in : Wonosobo Cities I want to visit : Batang"
2023-01-15 14:58:11,tegalfess,"Guys, bantuin pilihin dong wkwk. Btw st ku oily dan ga sensitif blas jd aman in syaa Allah. Pgn ngatasin kulit kusem, berminyak, dan nyerahin muka. Enaknya pake yg apa ya kata kalian ? Makasih 💓 [tf]  https://t.co/LXkPpvmfiq"
2023-01-15 14:15:50,tegalfess,"[TF] toko oleh2 di semarang yg deket lawang sewu, yg bisa jalan kaki dimana ya?"
2023-01-15 14:06:30,tegalfess,[TF] Kalo nabung enaknya di seabank atau jago?
2023-01-15 13:27:46,humasgaltim,"Pastikan situasi aman dan kondusif, Anggota Polsek Tegal Barat laksanakan pengamanan rangkaian giat Tahun Baru Imlek dan Sejit Kongco Tek Hay Cin Jin Tahun 2574 / 2023 di halaman Klenteng Tek Hay Kiong, Kelurahan Tegalsari Kecamatan Tegal Barat Kota Tegal, Minggu(15/01/2023)  https://t.co/AHfcmDMNpb"
2023-01-15 13:18:42,tegalfess,[TF] salah satu ras terkuat di bumi gais. sugoiii  https://t.co/kMtg1ZliEn
2023-01-15 13:12:38,polseksumpang,"Pengamanan rangkaian giat Tahun Baru Imlek dan Sejit Kongco Tek Hay Cin Jin Tahun 2574 / 2023 di halaman Klenteng Tek Hay Kiong, Kelurahan Tegalsari Kecamatan Tegal Barat Kota Tegal, Minggu(15/01/2023)  . #imlek  #polrestegalkota  #polripresisi  @humas_poldajateng  https://t.co/HWtS0a1Svn"
2023-01-15 12:51:23,HTegalbarat,"Pastikan situasi aman dan kondusif, Anggota Polsek Tegal Barat laksanakan pengamanan rangkaian giat Tahun Baru Imlek dan Sejit Kongco Tek Hay Cin Jin Tahun 2574 / 2023 di halaman Klenteng Tek Hay Kiong, Kelurahan Tegalsari Kecamatan Tegal Barat Kota Tegal, Minggu(15/01/2023)  .  https://t.co/jyjnUefV7X"
2023-01-15 12:46:12,EviZaki,"Pastikan situasi aman &amp; kondusif, Anggota Polsek Tegal Barat laksanakan pengamanan rangkaian giat Tahun Baru Imlek dan Sejit Kongco Tek Hay Cin Jin Tahun 2574 / 2023 di hal. Klenteng Tek Hay Kiong, Kelurahan Tegalsari Kecamatan Tegal Barat Kota Tegal, Minggu(15/01/2023)  . #imlek  https://t.co/MIGGrJCKcu"
2023-01-15 12:39:30,tegalfess,"Lur, mnurut kalian mending aku pake teraskin atau pake yg ini ? Btw tipe mukaku berminyak dan ga sensitif. Permasalahannya kusem dan pgn cerahin warna kulit muka yg ga rata. Tengkyu [tf]  https://t.co/VXsf0zKdpx"
2023-01-15 12:34:00,HumasKawasan,"Pastikan situasi aman dan kondusif, Anggota Polsek Tegal Barat laksanakan pengamanan rangkaian giat Tahun Baru Imlek dan Sejit Kongco Tek Hay Cin Jin Tahun 2574 / 2023 di halaman Klenteng Tek Hay Kiong, Kelurahan Tegalsari Kecamatan Tegal Barat Kota Tegal, Minggu(15/01/2023) .  https://t.co/4HpM6ihlvm"
2023-01-15 12:32:51,tegalfess,[tf] semir rambut selain wrna item boleh kan? Buat sholat juga sah kan?
2023-01-15 12:28:28,tegalfess,[tf] ada yg ke japan fest di transmrt ga?
2023-01-15 12:07:03,tegalfess,[tf] MUA di tegal yg sewain melayu wedding dress kaya gini dimana yaa? sender akhir tahun insya allah mau nikah. pengin banget pake yg kaya giniii 🥺  https://t.co/RXhHaHUB6h
2023-01-15 11:40:51,RafiMzk2007,Alun-Alun Kota Tegal Dan Waterleiding @infotegal  https://t.co/oxtGNlaHK6
2023-01-15 11:36:34,tegalfess,[tf] rekomendasi geprek yang enak daerah slawi-adiwerna dong selain sai sm roket
2023-01-15 11:29:50,tegalfess,[TF] adakah yg hari minggunya gabut? Ayo ngobrol sama aku di dm. Aku mba25
2023-01-15 11:29:29,tegalfess,"Gais, review burger b*ngo* donk, sama menu yang wajib dicobain dan harganya ya. Thanks [TF]"
2023-01-15 11:06:40,tegalfess,[tf] barangkali ada yang liat guys. thankyou😢  https://t.co/N3TjxjSJDQ
2023-01-15 10:54:35,EviZaki,"Waspada Cuaca Ekstrem dan Musim Penghujan, Personel Polsek Kawasan Pelabuhan Polres Tegal Kota berikan Imbauan kepada masyarakat nelayan. . #nelayan  #pelabuhan  #polrestegalkota  #polripresisi  @humas_poldajateng  https://t.co/8sF94El0zW"
2023-01-15 10:42:34,Sibre11,Antrian sembako 10K di Klenteng kota TEGAL Jawa tengah.  https://t.co/iXUXWQe8Fe
2023-01-15 10:41:03,tegalfess,[TF] hari minggu service honda motor depan jogja mall buka ga? Thx
2023-01-15 10:25:19,tegalfess,[TF] Kasi tau yg jualan buah lontar di Tegal dan sekitarnya dong 🥺🤤🥰  makasiii
2023-01-15 10:11:46,humasgaltim,"Waspada Cuaca Ekstrem dan Musim Penghujan, Personel Polsek Kawasan Pelabuhan Polres Tegal Kota berikan Imbauan kepada masyarakat nelayan. . Melalui Kegiatan Sambang yang rutin dilaksanakan ini, Anggota Polri sampaikan imbauan kepada para Nelayan agar meningkatkan kewaspadaan  https://t.co/n2apSVeull"
2023-01-15 09:50:15,tegalfess,[tf] yg jual krudung perawat list biru di sekitar tegal kota dmn ya guys?
2023-01-15 09:44:30,HumasKawasan,"Waspada Cuaca Ekstrem dan Musim Penghujan, Personel Polsek Kawasan Pelabuhan Polres Tegal Kota berikan Imbauan kepada masyarakat nelayan. . Melalui Kegiatan Sambang yang rutin dilaksanakan ini, Anggota Polri sampaikan imbauan kepada para Nelayan agar meningkatkan kewaspadaan.  https://t.co/NalSCjB9gA"
2023-01-15 09:44:03,HTegalbarat,"Waspada Cuaca Ekstrem dan Musim Penghujan, Personel Polsek Kawasan Pelabuhan Polres Tegal Kota berikan Imbauan kepada masyarakat nelayan.  https://t.co/GxutZ5PG6X"
2023-01-15 09:09:13,BkppdKotaTegal,"ada lagi nih pengumuman untuk pppk guru formasi umum,, lokasi dan waktu tes bisa di cek di website yg tertera yaa,, selengkapnya ada di webite bkppd yaa..  https://t.co/t1mT5Ok7WY  https://t.co/ZkuZZx0g3h"
2023-01-15 09:03:20,BkppdKotaTegal,"halo gaesss... yg di tunggu-tunggu nih... pengumuman penerimaan pppk teknis,,, selengkapnya ada di website  https://t.co/Pz1MiNGk5G yaa...  https://t.co/lDdh9jGF08"
2023-01-15 08:53:33,tegalfess,Rekomendasi salon potong rambut yg hasilnya cakep di tegal kota lur. Tengkyu [tf]
2023-01-15 08:46:49,tegalfess,"[TF] Ayo Kpopers Tegal khususnya SM Stan Join Event Saturday Night Noraebang Tanggal 21 Januari 2023 di Kopi Chuseyo Tegal, dijamin seru... Slot terbatas ya .. Bisa check ke IG Inakaf_Tegal 😄  https://t.co/ESN8lWmNMp"
2023-01-15 08:37:49,tegalfess,[tf] aku kerja pacarku nganggur hehe mantap
2023-01-15 08:19:19,tegalfess,[tf] vaksin 2 udh bisa naik joglosemarkerto nggak guys?
2023-01-15 07:52:55,tegalfess,guys ada yg lagi rantau sekitar jkt-bks dan mauk main gak ya? sendernya cewek 🌩️  [TF]
2023-01-15 07:22:42,tegalfess,"[TF]  guiss, kasi kata-kata motivasi dong. sender abis nolak cowo yg selama ini baik bangettt sama sender karena sebenernya sender udah punya pacar. sedih juga woiii 😭😭  https://t.co/HqsMreeGnD"
2023-01-15 06:54:18,tegalfess,[TF] gaes toko oleh2 khas tegal yg lengkap fimana yaa? Thxx sblmnya✋
2023-01-15 06:53:51,tegalfess,"[TF] menurut kalian,barang apa aja yg ga boleh kalian pinjemin ke orang lain  sender first : Earphone (ga mau bekas kuping orang lain🥲)"
2023-01-15 06:27:39,tegalfess,"Ges, info yang jual alat perlengkapan buat jahit dong. Langganan sender dah tutup dan gak tau pindah kemana. sekitar Adiwerna Tegal Slawi aja [TF]"
2023-01-15 06:22:45,tegalfess,[Tf] info toko laptop yang recomended di tegal dimana ya gaes :' maaciwww
2023-01-15 01:39:00,tegalfess,"[TF] habis jalan sama crush, berusaha bikin dia ngga sedih (kayaknya) tapi endingnya dia bahas orang lain. Mau gmn tapi bukan siapa²."
2023-01-15 01:23:33,tegalfess,"[TF] sebel banget sama cowo yang lagi nongkrong di tempat rame terus tiba-tiba ngomongin orang sama temennya tapi sambil ngeliatin orang yang lagi diomongin, entah itu ngomong fisik atau lainnya.. tapi asal kalian tau, kita tuh risih"
2023-01-15 00:52:58,tegalfess,[TF] ada yang mau mutualan instagram sama akun jualanku gaa??? buat nambah nambah followers hehe
2023-01-15 00:33:08,tegalfess,[Tf] diantara ini kalian pakenya apa?  https://t.co/5ARwajwhOA
2023-01-14 23:36:56,tegalfess,"[tf] gw lagi maen game sama pasangan. kita saling berbagi goal masing masing, setiap diantara kita mencapai goalnya berhak buat nge eliminasi hal yg ga disuka yg dilakuin lawan pasang. tapi tetep dasar game nya itu konsen."
2023-01-14 23:06:23,tegalfess,"[tf] gaesss karokean di orang3 itu sampe brpa yaaa? Atau dimana, yg enak kya diinul yg murcee 🤭"
2023-01-14 22:40:09,tegalfess,[tf] guyssss mo nanya dong di kota or kab tegal toko offline yg jual bunga plastik mini gini ada gak ya? kalo ada spill duuung butuh bet please 😭😭😭  https://t.co/MBTGdlIdqz
2023-01-14 22:24:26,lapas_purwodadi,KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Tindak Lanjuti Aplikasi E-berpadu Lapas Tegal Adakan Rapat Di Polres Tegal Kota  https://t.co/JIuIF6lscv
2023-01-14 21:43:26,tegalfess,"[tf] hallo ges rekomendasiin tempat service HP xiaomi dong, yg bisa ganti batree"
2023-01-14 21:34:35,tegalfess,[TF] siapa yang tau iphonesemarang2013??? Sekarang buka cabang di tegal guyssss 🙌🏻  https://t.co/4c2JvNvxiS
2023-01-14 21:33:59,GerindraTegal,#gerindramenang #gerindra #partaigerindra #jateng #jawatengah #gerindrajawatengah #gerindrajateng #dpcgerindra #kotategal #indonesia #pulihlebihcepatbangkitlebihkuat  https://t.co/KndpA00t05
2023-01-14 21:33:41,GerindraTegal,"jika tidak bisa berinteraksi atau bertegur sapa, karena beliau sedang melaksanakan tugasnya sebagai pejabat negara.  Prabowo Subianto  #kadermuda #kadergerindra #gmd #gerindramasadepan #prabowo #prabowosubianto #prabowobersamarakyat #mendingprabowo #prabowopresiden"
2023-01-14 21:33:41,GerindraTegal,"Kader Terlalu Semangat, Pak Prabowo: Saya yakin ini GMD kali yaa...  Pak Prabowo bercerita setiap beliau melakukan dinas ke daerah-daerah selalu saja ada kader Gerindra yang menyambut dan mengetahui kedatangannya. Beliau mengucapakan terima kasih, namun Pak Prabowo meminta maaf"
2023-01-14 21:30:57,tegalfess,[tf] di tegal mua nikahan yg natural dan syar’i di mana yah? terimakasi yg sudah bantu jawab🥰
2023-01-14 21:04:55,tegalfess,"[tf] guys, mau tanya rekomendasi kost cewe yg bisa bulanan sekitar alun-alun atau kartini adakah yg punya infonya? sama kalo ada sebutin price dan fasilitasnya ya. Makasih bangettt"
2023-01-14 21:04:41,KPUKotaTegal,"Info terbaru nih Kalau kamu belum tau nomor urut partai politik peserta pemilu 2024 di Kota Tegal, yuk cek disini ya...  #KPUMelayani #pemiluserentak2024  https://t.co/POVlkAfPGU"
