,tweet
95,@ChusnulCh__ @prabowo Yaaah mungkin dia TAKUT? 😒
96,@ChusnulCh__ @prabowo Kan udah satu barisan
97,@ChusnulCh__ @prabowo Bonek baca  https://t.co/wid1NtNLMB
98,"@KRMTRoySuryo2 Kalau radikalisme, ekstrimisme itu frasa2 penjajah Indonesia.  Mereka lupa cengkraman Neo imprealisme gaya baru melahirkan kelompok2 yang mendukung oligarki,terbukti arah kebijakan pemerintah yang mendukung TAIpan membangun Tirani Komunis China @mohmahfudmd @prabowo"
99,"Survei Capres, Prabowo Unggul di Kaltim, PDIP Ungguli Golkar @prabowo @PDI_Perjuangan @PartaiGolkar    https://t.co/Rj3OfL2DJ3"
100,Pertemuan dengan Menhan @prabowo merupakan kali pertama bagi Brigjen TNI Iwan Setiawan sejak secara resmi memegang amanah tongkat komando kepemimpinan Korps Baret Merah.  @penkopassus @Kemhan_RI  #IDM #MenhanPrabowo #PrabowoSubianto #Danjen #Kopassus #TNI #TNIAD #AngkatanDarat  https://t.co/DdVZo9oPqB
101,"Menteri Pertahanan RI Prabowo Subianto mengikuti rapat terbatas tentang Rancangan Rencana Kerja Pemerintah dan Pagu Indikatif Tahun 2023 di Kantor Presiden Jakarta Pemerintah akan memfokuskan kebijakan fiskal tahun 2023 untuk mendukung pemulihan ekonomi,  https://t.co/qo16qHvKvb"
102,@Nicho_Silalahi @jokowi @prabowo @sandiuno  https://t.co/bhUXEvQhmY
103,@HyEvan1 @M45Broo_ @prabowo @Gerindra @jokowi Saya juga big NO
104,@KD_Jateng @Gerindra @prabowo Robot ..semua....😁
105,@ChusnulCh__ @prabowo Jangan sampai dia jadi presiden berikutnya.
106,@titik_cahaya12 @ChusnulCh__ @prabowo Emang dia bisa jadinPresiden  😂😂😂
107,@bud1_f1 @ChusnulCh__ @prabowo Prabowo tdk bisa jd Presiden Gara2 mulutnya si ZONK
108,@sitolin8 @ChusnulCh__ @prabowo Betul itu contoh  anak buah zonk
109,@ChusnulCh__ @prabowo Udah rahasia umum 😂
110,"@SultraGerindra @prabowo @Gerindra Klo Prabowo duet ama Puan, fix gw pilih lawannya wkwk"
111,@ElsaLestar1 @prabowo @Gerindra yang ditakutkan dia sebagai pekerja saja karena bagus kerjanya rakyat sudah tidak lagi percaya
112,"Sementara di Kalimantan Timur, elektabilitas Prabowo Subianto unggul dan disusul Ganjar Pranowo di posisi kedua serta Anies Baswedan di urutan ketiga.   https://t.co/04uFVRISmM"
113," https://t.co/5KUEdSptmo  Politikus senior PDIP Panda Nababan menyebut empat menteri Jokowi terang-terangan menyatakan maju di Pilpres, salah satunya Prabowo Subianto."
114,@ChusnulCh__ @prabowo Prabowo pemuja Hoax2
115,@Nicho_Silalahi @jokowi @prabowo @sandiuno Kaciaann deech..mulut udah lebar2 udah gitu bau bangke ke ujanan.eeee. Jokowi masih presiden tuucchj 😀😀😀
116,"@ChusnulCh__ @prabowo Woiiiii... belio masih ngebet mau nyapresss... kalo belio buka suara mengenai penganiayaan AA, bisa amblas itu suara² pemilihnya..🤦‍♂️"
117,@Gamer_hub_io @jokowi @prabowo @aniesbaswedan
118,@SultraGerindra @prabowo @Gerindra Mimpi....
119,Menhan Prabowo Subianto Menerima Laporan Kesiapan Dari Ketua Panitia Indo Defence 2022  https://t.co/vxFi86tEIJ via @kabar_tangsel
120,@ChusnulCh__ @prabowo Mbak ini knp lagi to..
121,@Hayuningrat7 @prabowo Berita lama ini menjadi pengingat ya  https://t.co/6tS7bEQaTS
122,@LoeGueNKRI_2 @ChusnulCh__ Berawal dari @prabowo
123,@ChusnulCh__ @prabowo  https://t.co/8jXmkdJjui
124,APBN tahun depan akan tetap mendukung pemulihan ekonomi dan program-program pembangunan nasional. 🇮🇩  Foto: Biro Pers Sekretariat Presiden @setpresRI   #Kemhan #KemhanRI #Prabowo #PrabowoSubianto #MenhanPrabowo #JokoWidodo #PresidenJokowi #Jokowi #IndonesiaMaju #APBN2023
125,"Menteri Pertahanan RI Prabowo Subianto @prabowo mengikuti rapat terbatas tentang Rancangan Rencana Kerja Pemerintah dan Pagu Indikatif Tahun 2023 di Kantor Presiden, Jakarta, Kamis, 14 April 2022.  https://t.co/j5F2B45ZlN"
126,@totoandre3 @K7_m0en @jokowi @mohmahfudmd @prabowo  https://t.co/V4289y3Kwh
127,"@vinceney @mu133tmr @Irwan2yah @ListyoSigitP @DivHumas_Polri @CCICPolri @Puspen_TNI @mohmahfudmd @prabowo @BNPTRI 😂😂 Panjang cerotanya pak pokonya ibu2 yg gelarnya berderet itu pernah ngomong ""Kamu udah Lemhanas belum ?""  Di telusuri aja tar jga ketemu 😂😂"
128,@CheppyAR @prabowo @Dahnilanzar @edo7545 mentri aja udah sangat puas ... kalo mau babak ke 4 masih nunggu izin bapak 🤣🤣🤣 #3babakkalahtruss
129,Pancasila udah mau jadi khilafah ? @jokowi @mohmahfudmd @prabowo
130,Modusnya mau ganti Pancasila dengan Khilafah. Begitu Bapak? @ListyoSigitP @prabowo @mohmahfudmd @jokowi
131,@Mdy_Asmara1701 Nah tar pak @prabowo jadi pak Luhutnya ya kelak... 😁
132,@Sobat_Anies @prabowo @puanmaharani_ri @aniesbaswedan @AgusYudhoyono @Gerindra @PDI_Perjuangan @PDemokrat @NasDem @PKSejahtera @DPP_PPP @DPP_PKB @Official_PAN Fb dong
133,Prabowo Subianto Diprediksi Susah Cari Suara di Jawa Tengah  https://t.co/eyS1Yc9muC
134,@rizardwn @cobeh2021 Capresmu @prabowo sdh jd pembantu @jokowi . Dasar akun sakit jiwa
135,@gerindra_maluku @prabowo @Gerindra Yakin masih mampu?
136,@CheppyAR @PabloHerlambang @prabowo @Dahnilanzar @edo7545 Doeloe Pilpres 2019 kumpul2 jg para the old soldiers...tapi gaje visinya kmana? Cuma hepi2 aja
