username,tweet,geo
CalistaKaisa,"""Yang bersangkutan itu kemudian menyatakan bahwa masih tunduk terhadap garis partai dan loyal kepada Pak Prabowo, serta mendukung pencalonan Pak Prabowo sebagai presiden,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,Hal tersebut disampaikan Dasco terkait isi pertemuan antara Prabowo dan Sandiaga beberapa waktu lalu.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Hal tersebut disampaikan Dasco terkait isi pertemuan antara Prabowo dan Sandiaga beberapa waktu lalu.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,Ketua Harian DPP Partai Gerindra Sufmi Dasco Ahmad mengatakan Sandiaga Uno masih tunduk dan loyal kepada Ketua Umum Prabowo Subianto.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Ketua Harian DPP Partai Gerindra Sufmi Dasco Ahmad mengatakan Sandiaga Uno masih tunduk dan loyal kepada Ketua Umum Prabowo Subianto.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,Dasco: Sandiaga Bilang Masih Tunduk dan Loyal ke Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Dasco: Sandiaga Bilang Masih Tunduk dan Loyal ke Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,"""Ini kok di Gerindra ada matahari kembar, Pak Prabowo atau Sandiaga."" kata Adi.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Ini kok di Gerindra ada matahari kembar, Pak Prabowo atau Sandiaga."" kata Adi.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"Apalagi mengingat, bahwa Partai Gerindra sudah melakukan deklarasi bersama PKB untuk berkoalisi maju Pilpres.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"""Internal Gerindra itu solid dari pusat hingga daerah, dari pusat hingga RT-RW dan ranting itu tegak lurus pada Prabowo Subianto yang akan diusung maju Pilpres."" kata Adi.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Internal Gerindra itu solid dari pusat hingga daerah, dari pusat hingga RT-RW dan ranting itu tegak lurus pada Prabowo Subianto yang akan diusung maju Pilpres."" kata Adi.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Apalagi mengingat, bahwa Partai Gerindra sudah melakukan deklarasi bersama PKB untuk berkoalisi maju Pilpres.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,Seluruh internal partai sudah satu suara mendukung Ketua Umum Partai Gerindra Prabowo Subianto.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,"""Kalau Pak Sandi ingin maju Pilpres tentu bukan Gerindra jawabannya. Karena Gerindra itu harga mati bagi Prabowo Subianto,"" kata Adi.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Kalau Pak Sandi ingin maju Pilpres tentu bukan Gerindra jawabannya. Karena Gerindra itu harga mati bagi Prabowo Subianto,"" kata Adi.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,Seluruh internal partai sudah satu suara mendukung Ketua Umum Partai Gerindra Prabowo Subianto.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Hendrikorachman,Dokumen negara bukan hak eksekutif aja tapi hak dari @DPR_RI dan @DPDRI  jika terkait dg UUD 45 psl 33 atau terkait hukum +62 Cc @jokowi @mohmahfudmd @LaNyallaMM1 @puanmaharani_ri @AgusYudhoyono @cakimiNOW @prabowo @airlangga_hrt @Fahrihamzah @ZUL_Hasan @KPK_RI @bahlillahadalia,
Taniaanandaa,"""Kalau itu kemudian menjamin bahwa dia akan tetap, saya tidak bisa jamin. Tanya saja kepada Mas Sandi,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
AndikKuswanto11, https://t.co/VlTnC7E6pM @jokowi @prabowo,
CalistaKaisa,"""Kalau itu kemudian menjamin bahwa dia akan tetap, saya tidak bisa jamin. Tanya saja kepada Mas Sandi,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"""Serta mendukung pencalonan Pak Prabowo sebagai presiden,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"""Yang saya tahu bahwa yang bersangkutan itu menyatakan bahwa masih tunduk kepada garis partai dan loyal kepada Pak Prabowo,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Serta mendukung pencalonan Pak Prabowo sebagai presiden,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Yang saya tahu bahwa yang bersangkutan itu menyatakan bahwa masih tunduk kepada garis partai dan loyal kepada Pak Prabowo,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,Ketua Harian DPP Partai Gerindra Sufmi Dasco Ahmad tak 100 persen percaya Sandiaga akan terus bertahan di Partai Gerindra.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Ketua Harian DPP Partai Gerindra Sufmi Dasco Ahmad tak 100 persen percaya Sandiaga akan terus bertahan di Partai Gerindra.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Dalam pertemuan tersebut Sandiaga Uno menyatakan setia dan mendukung Prabowo Subianto yang akan menjadi capres 2024 dari Partai Gerindra.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,Pernyataan Sandiaga ini tidak sepenuhnya dipercaya oleh petinggi Partai Gerindra.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Pernyataan Sandiaga ini tidak sepenuhnya dipercaya oleh petinggi Partai Gerindra.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,Dalam pertemuan tersebut Sandiaga Uno menyatakan setia dan mendukung Prabowo Subianto yang akan menjadi capres 2024 dari Partai Gerindra.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,Sandiaga Uno sendiri sempat bertemu langsung dengan Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Sandiaga Uno sendiri sempat bertemu langsung dengan Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,"Diterpa isu pindah ke Partai Persatuan Pembangunan (PPP), hubungan Menparekraf Sandiaga Salahuddin Uno dengan Ketua Umum Partai Gerindra Prabowo Subianto kini menjadi sorotan.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Diterpa isu pindah ke Partai Persatuan Pembangunan (PPP), hubungan Menparekraf Sandiaga Salahuddin Uno dengan Ketua Umum Partai Gerindra Prabowo Subianto kini menjadi sorotan.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"Terkait Pilpres 2024, Kesetiaan Sandiaga Uno ke Prabowo Diragukan Petinggi Gerindra.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Terkait Pilpres 2024, Kesetiaan Sandiaga Uno ke Prabowo Diragukan Petinggi Gerindra.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"Untuk keempat kalinya, Prabowo terpilih pada Musyawarah Nasional PB IPSI, 18 Desember 2021, di hotel Aston, Sentul, Bogor, Jabar.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Untuk keempat kalinya, Prabowo terpilih pada Musyawarah Nasional PB IPSI, 18 Desember 2021, di hotel Aston, Sentul, Bogor, Jabar.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,Prabowo terus memimpin organisasi pencak silat nasional hingga saat ini.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Prabowo terus memimpin organisasi pencak silat nasional hingga saat ini.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,Prabowo Subianto terpilih menjadi Ketua Umum Pengurus Besar Ikatan Pencak Silat Indonesia (PB IPSI) pertama kali pada 2004.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Prabowo Subianto terpilih menjadi Ketua Umum Pengurus Besar Ikatan Pencak Silat Indonesia (PB IPSI) pertama kali pada 2004.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,Prabowo mengajak seniornya mengembangkan Silat Baringin Sakti yang sebelumnya beraliran silat Minangkabau menjadi bentuk organisasi pencak silat yang beraliran nasional.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Prabowo mengajak seniornya mengembangkan Silat Baringin Sakti yang sebelumnya beraliran silat Minangkabau menjadi bentuk organisasi pencak silat yang beraliran nasional.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,Prabowo adalah pendiri Perguruan Pencak Silat Satria Muda Indonesia.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Prabowo adalah pendiri Perguruan Pencak Silat Satria Muda Indonesia.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,"Apakah Sandi dipastikan tetap di Gerindra, menurut Dasco, dirinya hanya menyampaikan apa yang telah disampaikan Sandi kepada Prabowo di pertemuan itu.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,6 Jenderal TNI yang Juga Jago Pencak Silat Termasuk Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,6 Jenderal TNI yang Juga Jago Pencak Silat Termasuk Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,"Apakah Sandi dipastikan tetap di Gerindra, menurut Dasco, dirinya hanya menyampaikan apa yang telah disampaikan Sandi kepada Prabowo di pertemuan itu.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"""Yang bersangkutan (Sandi) menyatakan bahwa masih tunduk kepada garis partai dan loyal kepada Pak Prabowo serta mendukung pencalonan Pak Prabowo sebagai presiden,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Yang bersangkutan (Sandi) menyatakan bahwa masih tunduk kepada garis partai dan loyal kepada Pak Prabowo serta mendukung pencalonan Pak Prabowo sebagai presiden,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"""Ya jadi kemarin memang Pak Sandi sudah minta waktu dan sudah diberi waktu dan sudah ketemu sama Pak Prabowo,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
