username,tweet,location
CalistaKaisa,Seluruh internal partai sudah satu suara mendukung Ketua Umum Partai Gerindra Prabowo Subianto.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,KEPULAUAN BANGKA BELITUNG
Taniaanandaa,"""Kalau Pak Sandi ingin maju Pilpres tentu bukan Gerindra jawabannya. Karena Gerindra itu harga mati bagi Prabowo Subianto,"" kata Adi.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",KEPULAUAN BANGKA BELITUNG
CalistaKaisa,"""Kalau Pak Sandi ingin maju Pilpres tentu bukan Gerindra jawabannya. Karena Gerindra itu harga mati bagi Prabowo Subianto,"" kata Adi.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",KEPULAUAN BANGKA BELITUNG
Taniaanandaa,Seluruh internal partai sudah satu suara mendukung Ketua Umum Partai Gerindra Prabowo Subianto.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,KEPULAUAN BANGKA BELITUNG
Taniaanandaa,"""Kalau itu kemudian menjamin bahwa dia akan tetap, saya tidak bisa jamin. Tanya saja kepada Mas Sandi,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",KEPULAUAN BANGKA BELITUNG
AndikKuswanto11, https://t.co/VlTnC7E6pM @jokowi @prabowo,KEPULAUAN BANGKA BELITUNG
CalistaKaisa,"""Kalau itu kemudian menjamin bahwa dia akan tetap, saya tidak bisa jamin. Tanya saja kepada Mas Sandi,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",KEPULAUAN BANGKA BELITUNG
Taniaanandaa,"""Serta mendukung pencalonan Pak Prabowo sebagai presiden,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",KEPULAUAN BANGKA BELITUNG
Taniaanandaa,"""Yang saya tahu bahwa yang bersangkutan itu menyatakan bahwa masih tunduk kepada garis partai dan loyal kepada Pak Prabowo,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",KEPULAUAN BANGKA BELITUNG
CalistaKaisa,"""Serta mendukung pencalonan Pak Prabowo sebagai presiden,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",KEPULAUAN BANGKA BELITUNG
CalistaKaisa,"""Yang saya tahu bahwa yang bersangkutan itu menyatakan bahwa masih tunduk kepada garis partai dan loyal kepada Pak Prabowo,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",KEPULAUAN BANGKA BELITUNG
