username,tweet,location
Taniaanandaa,Prabowo menilai ada beberapa kader Gerindra yang keluar dari jalur sehingga salah jalan.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,JAMBI
CalistaKaisa,Prabowo menilai ada beberapa kader Gerindra yang keluar dari jalur sehingga salah jalan.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,JAMBI
Taniaanandaa,Ketua Umum Gerindra Prabowo Subianto sempat menyinggung ada kader partainya yang berkeinginan untuk bergabung dengan parpol lain.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,JAMBI
CalistaKaisa,Ketua Umum Gerindra Prabowo Subianto sempat menyinggung ada kader partainya yang berkeinginan untuk bergabung dengan parpol lain.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,JAMBI
Taniaanandaa,"""Ya saya kan menyampaikan apa yang disampaikan yang bersangkutan kepada Pak Prabowo. Bahwa kalau itu kemudian menjamin bahwa dia akan tetap, saya tidak bisa jamin,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",JAMBI
CalistaKaisa,"""Ya saya kan menyampaikan apa yang disampaikan yang bersangkutan kepada Pak Prabowo. Bahwa kalau itu kemudian menjamin bahwa dia akan tetap, saya tidak bisa jamin,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",JAMBI
Taniaanandaa,"""Yang bersangkutan itu kemudian menyatakan bahwa masih tunduk terhadap garis partai dan loyal kepada Pak Prabowo, serta mendukung pencalonan Pak Prabowo sebagai presiden,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",JAMBI
CalistaKaisa,"""Yang bersangkutan itu kemudian menyatakan bahwa masih tunduk terhadap garis partai dan loyal kepada Pak Prabowo, serta mendukung pencalonan Pak Prabowo sebagai presiden,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",JAMBI
Taniaanandaa,Hal tersebut disampaikan Dasco terkait isi pertemuan antara Prabowo dan Sandiaga beberapa waktu lalu.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,JAMBI
CalistaKaisa,Hal tersebut disampaikan Dasco terkait isi pertemuan antara Prabowo dan Sandiaga beberapa waktu lalu.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,JAMBI
Taniaanandaa,Ketua Harian DPP Partai Gerindra Sufmi Dasco Ahmad mengatakan Sandiaga Uno masih tunduk dan loyal kepada Ketua Umum Prabowo Subianto.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,JAMBI
